Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Afghanistan,7471750,8151000,8892000,9830000,10998000,12431000,14133000,15045000,13120000,13569000,19446000,22462000,26335000,29121000,32565000,36644000
Albania,1082544,1228000,1393000,1624000,1884000,2157000,2402000,2672000,2957000,3245000,3159000,3159000,3025000,2987000,3030000,3075000
Algeria,8035506,8893000,9842000,10910000,11964000,13932000,16141000,18807000,22009000,25191000,28322000,30639000,32918000,35950000,39543000,42973000
American Samoa,20000,20000,20000,21000,25000,28000,30000,33000,39000,48000,54000,58000,57000,56000,55000,54000
Andorra,7000,7000,7000,9000,14000,20000,27000,34000,45000,53000,64000,66000,77000,85000,86000,86000
Angola,3833165,4118000,4424000,4798000,5135000,5606000,6051000,7206000,8390000,9486000,11000000,12683000,14770000,17043000,19626000,22485000
Anguilla,6000,6000,6000,6000,6000,7000,7000,7000,7000,9000,10000,12000,14000,15000,17000,19000
Antigua and Barbuda,40692,46000,52000,55000,60000,66000,69000,69000,65000,65000,69000,76000,82000,87000,93000,99000
Argentina,15540828,17151000,18928000,20617000,22284000,23963000,26082000,28370000,30672000,33036000,35274000,37336000,39182000,41344000,43432000,45379000
Armenia,1174161,1356000,1566000,1869000,2206000,2520000,2835000,3134000,3465000,3530000,3131000,3101000,3085000,3072000,3057000,3022000
Aruba,46296,50000,54000,58000,60000,60000,60000,60000,62000,64000,80000,90000,97000,105000,113000,120000
Australia,7367948,8268000,9278000,10362000,11440000,12661000,13772000,14616000,15696000,16957000,17976000,19054000,20233000,21516000,22752000,23939000
Austria,6925017,6936000,6947000,7048000,7271000,7468000,7579000,7550000,7560000,7723000,8048000,8114000,8315000,8448000,8666000,8860000
Azerbaijan,2513276,2886000,3314000,3882000,4567000,5169000,5697000,6199000,6846000,7498000,8051000,8464000,8826000,9302000,9781000,10206000
Bahamas,57284,71000,88000,113000,140000,171000,190000,210000,229000,246000,266000,283000,297000,311000,325000,338000
Bahrain,100954,115000,131000,157000,192000,220000,259000,348000,424000,506000,583000,655000,916000,1181000,1347000,1506000
Bangladesh,42016522,45646000,49589000,54593000,60285000,67332000,76153000,87938000,102309000,112213000,121443000,132151000,144139000,156119000,168958000,169778000
Barbados,195268,211000,228000,233000,235000,239000,248000,252000,258000,263000,268000,274000,281000,286000,291000,295000
Belarus,7665432,7723000,7781000,8168000,8591000,9028000,9361000,9644000,9982000,10201000,10205000,10034000,9807000,9681000,9590000,9478000
Belgium,8416913,8640000,8869000,9119000,9449000,9638000,9795000,9847000,9859000,9970000,10156000,10264000,10470000,10866000,11324000,11721000
Belize,56571,66000,77000,92000,107000,123000,136000,145000,166000,191000,218000,249000,282000,315000,348000,380000
Benin,1515392,1673000,1847000,2056000,2311000,2620000,2996000,3459000,4031000,4706000,5647000,6620000,7778000,9057000,10449000,11957000
Bermuda,36214,39000,42000,45000,49000,53000,54000,55000,57000,58000,61000,64000,66000,69000,71000,72000
Bhutan,143829,164000,187000,213000,255000,310000,373000,447000,530000,615000,567000,606000,655000,700000,742000,783000
Bolivia,2489850,2767000,3075000,3435000,3854000,4347000,4915000,5442000,5935000,6574000,7375000,8196000,9073000,9948000,10801000,11640000
Bosnia and Herzegovina,2383721,2663000,2975000,3241000,3494000,3704000,3981000,4093000,4227000,4315000,3547000,3806000,3894000,3885000,3868000,3836000
Botswana,402080,431000,462000,497000,539000,584000,705000,901000,1080000,1265000,1478000,1680000,1841000,2030000,2183000,2313000
Brazil,46328767,53444000,61652000,71412000,82602000,94931000,107328000,121064000,135734000,149410000,161912000,174316000,186021000,195835000,204260000,216016000
British Virgin Islands,7000,7000,7000,8000,9000,10000,11000,11000,14000,16000,20000,23000,26000,30000,34000,38000
Brunei,33197,45000,61000,84000,103000,128000,157000,186000,218000,253000,288000,326000,362000,396000,430000,465000
Bulgaria,7010267,7251000,7500000,7868000,8202000,8490000,8721000,8844000,8944000,8895000,8285000,7909000,7612000,7392000,7187000,6967000
Burkina Faso,4151274,4377000,4615000,4866000,5032000,5304000,5674000,6319000,7171000,8362000,9903000,11588000,13904000,16242000,18932000,21978000
Burundi,2166771,2363000,2577000,2816000,3171000,3522000,3677000,4298000,4915000,5509000,5800000,6716000,7789000,9121000,10743000,12632000
Cambodia,3960940,4472000,5049000,5762000,6602000,7395000,7500000,6889000,7842000,9368000,11235000,12352000,13298000,14454000,15709000,16927000
Cameroon,4585021,4888000,5211000,5609000,6104000,6727000,7522000,8756000,10227000,11984000,13828000,15818000,18132000,20823000,23740000,26970000
Canada,12232019,14012000,16051000,18267000,20072000,21750000,23210000,24594000,25942000,27791000,29691000,31100000,32387000,33760000,35100000,36388000
Cape Verde,127112,147000,170000,197000,232000,269000,281000,297000,317000,340000,386000,431000,471000,509000,546000,584000
Cayman Islands,7000,7000,7000,8000,9000,11000,15000,18000,21000,27000,33000,39000,45000,51000,57000,62000
Central African Republic,1176872,1260000,1349000,1468000,1628000,1840000,2058000,2349000,2715000,3085000,3545000,3980000,4364000,4845000,5392000,5991000
Chad,2423971,2608000,2806000,3043000,3345000,3728000,4145000,4523000,5067000,5842000,6770000,7943000,9401000,10544000,11632000,12756000
Chile,5501228,6091000,6744000,7586000,8510000,9369000,10208000,10999000,11953000,13008000,14173000,15175000,15980000,16760000,17509000,18187000
China,521370267,562580000,607047000,651340000,716667000,822116000,920295000,987822000,1061876000,1153164000,1221056000,1268302000,1302285000,1336681000,1367486000,1397026000
